PTN_NO,PRODUCT_ID,URL
17108,1 Liter Stainless Steel Water Bottles,+1-liter-stainless-steel-water-bottles
18200,100th birthday,+100th-birthday
18833,10th birthday,+10th-birthday
18744,11th birthday,+11th-birthday
17359,12 Pack Golf Balls,+12-pack-golf-balls
17849,12th birthday,+12th-birthday
17875,13th birthday,+13th-birthday
18886,14th birthday,+14th-birthday
18106,15th birthday,+15th-birthday
18003,16th birthday,+16th-birthday
17109,17 oz. Stainless Steel Water Bottle,+17-ounce-insulated-water-bottles
17748,17th birthday,+17th-birthday
18157,18th birthday,+18th-birthday
18919,19th birthday,+19th-birthday
18346,1st anniversary,+1st-anniversary
17776,1st memorial day,+1st-memorial-day
19169,2020,+2020
19898,Election 2024,+2024-election
18849,20th birthday,+20th-birthday
17252,20x12 Oval Wall Decals,+20x12-oval-wall-decals
17248,20x12 Wall Decals,+20x12-wall-decals
17249,20x6 Wall Decals,+20x6-wall-decals
18828,21st birthday,+21st-birthday
18098,22nd birthday,+22nd-birthday
18507,23rd birthday,+23rd-birthday
18860,24th birthday,+24th-birthday
17110,30 oz. Stainless Steel Water Bottles,+30-ounce-stainless-steel-water-bottles
18777,30th birthday,+30th-birthday
17253,35x21 Oval Wall Decals,+35x21-oval-wall-decals
17250,35x21 Wall Decals,+35x21-wall-decals
17251,36x11 Wall Decals,+36x11-wall-decals
17280,4 ft. Banners,+4-foot-banners
17978,40th birthday,+40th-birthday
17152,4X6 Area Rugs,+4x6-area-rugs
18269,50th birthday,+50th-birthday
17153,5X7 Area Rugs,+5x7-area-rugs
17281,6 ft. Banners,+6-foot-banners
17358,6 Pack Golf Balls,+6-pack-golf-balls
18518,60th birthday,+60th-birthday
18707,70th birthday,+70th-birthday
17914,75th birthday,+75th-birthday
17282,8 ft. Banners,+8-foot-banners
18016,80s,+80s
17180,"84"" Curtains",+84-inch-curtains
17181,"96"" Curtains",+96-inch-curtains
20221,Acacia Fraternity,+acacia-fraternity
17121,Accessories,+accessories
19208,accountant,+accountant
17148,Adult Socks,+adult-socks
17986,age birthdays,+age-birthdays
17191,All Over Print Apron,+all-over-print-apron
20259,Alpha Chi Omega,+alpha-chi-omega
20215,Alpha Chi Rho Fraternity,+alpha-chi-rho-fraternity
20099,Alpha Delta Pi ,+alpha-delta-pi
20096,Alpha Epsilon Phi Sorority,+alpha-epsilon-phi-sorority
20253,Alpha Gamma Rho Fraternity,+alpha-gamma-rho-fraternity
20250,Alpha Kappa Lambda Fraternity,+alpha-kappa-lambda-fraternity
20299,Alpha Omega Epsilon Sorority,+alpha-omega-epsilon-sorority
19989,Alpha Omicron Pi Sorority,+alpha-omicron-pi-sorority
20031,Alpha Phi ,+alpha-phi
20256,Alpha Phi Omega Fraternity,+alpha-phi-omega-fraternity
20149,Alpha Sigma Phi Fraternity,+alpha-sigma-phi-fraternity
19992,Alpha Tau Omega Fraternity,+alpha-tau-omega-fraternity
20266,Alpha Xi Delta Sorority,+alpha-xi-delta-sorority
17269,Aluminum License Plate Frame,+aluminum-license-plate-frame
19847,"",+america
19697,AMERICA 250,+america-250
18449,America First,+america-first
18358,animal,+animal
19678,"",+animal-club-international
19571,Animal Club International - Halloween,+animal-club-international-halloween
19114,Animal Club International - Holiday ,+animal-club-international-holiday
18530,animals,+animals
17878,anniversary,+anniversary
20168,Anti China,+anti-china
19909,Anti Donald Trump,+anti-donald-trump
18290,anti fitness,+anti-fitness
18598,anti gun violence,+anti-gun-violence
18641,Anti Joe Biden,+anti-joe-biden
18453,anti valentines,+anti-valentines
19044,anyone but trump,+anyone-but-trump
17308,Apple Watch Bands,+apple-watch-bands
17309,38mm Apple Watch Bands,+apple-watch-bands-38mm
17310,42mm Apple Watch Bands,+apple-watch-bands-42mm
17190,Aprons,+aprons
19356,art,+art
18350,aunt,+aunt
20303,"",+auntyacidcomic
19322,australian shepherd,+australian-shepherd
18205,autism awareness,+autism-awareness
18910,autumn,+autumn
18050,avocado,+avocado
19757,Unique Funny,+awesome-funny-2021
19489,babies 1st christmas,+babies-1st-christmas
17779,baby,+baby
17091,Baby Bibs,+baby-bibs
17094,Baby Blankets,+baby-blankets
17082,Baby Bodysuits,+baby-bodysuits
17081,Baby Clothes & Accessories,+baby-clothing
